,Product Name,Product Price,Product Rating,Product small Desc,Specs
0,Lenovo APU Dual Core E2 7th Gen - (4 GB/1 TB HDD/DOS) IP 320E Laptop,"?18,990",3.3,"15.6 inch, Black, 2.2 kg","One Year Accidental Damage Protection(On Redemption)
McAfee Live Safe 1 Year Subscription
AMD APU Dual Core E2 Processor (7th Gen)
4 GB DDR4 RAM
DOS Operating System
1 TB HDD
15.6 inch Display
1 Year Onsite Warranty
"
1,HP Core i3 6th Gen - (4 GB/1 TB HDD/DOS) 15-BE012TU Laptop,"?27,490",4.1,"15.6 inch, SParkling Black, 2.19 kg","Intel Core i3 Processor (6th Gen)
4 GB DDR4 RAM
64 bit DOS Operating System
1 TB HDD
15.6 inch Display
1 Year Onsite Warranty
"
2,HP Pentium Quad Core - (4 GB/1 TB HDD/DOS) 15-BE010TU Laptop,"?21,990",3.9,"15.6 inch, SParkling Black, 2.19 kg","Intel Pentium Quad Core Processor
4 GB DDR3 RAM
DOS Operating System
1 TB HDD
15.6 inch Display
1 Year Onsite Warranty
"
3,Lenovo Ideapad Core i5 7th Gen - (8 GB/1 TB HDD/Windows 10 Home/2 GB Graphics) IP 320 Laptop,"?45,990",4.3,"15.6 inch, Grey, 2.2 kg","NVIDIA GeForce 940MX Graphics Card
1 Year Accidental Damage Protection(On Redemption)
McAfee Live Safe 1 Year Subscription
2 x USB 3.0, 1 x USB Type C Same Line
Intel Core i5 Processor (7th Gen)
8 GB DDR4 RAM
64 bit Windows 10 Operating System
1 TB HDD
15.6 inch Display
1 Year Onsite Warranty
"
4,Lenovo Core i5 7th Gen - (8 GB/1 TB HDD/DOS/2 GB Graphics) IP 320E Laptop,"?41,990",4.3,"15.6 inch, Black, 2.2 kg","NVIDIA GeForce 940MX Graphics Card
1 Year Accidental Damage Protection(On Redemption)
McAfee Live Safe 1 Year Subscription
2 x USB 3.0, 1 x USB Type C same Line
Intel Core i5 Processor (7th Gen)
8 GB DDR4 RAM
DOS Operating System
1 TB HDD
15.6 inch Display
1 Year Onsite Warranty
"
5,Dell Inspiron Core i3 6th Gen - (4 GB/1 TB HDD/Ubuntu) 5567 Notebook,"?28,490",4.5,"15.6 inch, Black, 2.36 kg","Full HD Display
Anti Virus Included: McAfee Security Center 15 Months Subscription eCard
Intel Core i3 Processor (6th Gen)
4 GB DDR4 RAM
Linux/Ubuntu Operating System
1 TB HDD
15.6 inch Display
1 Year Onsite Warranty
"
6,HP Core i3 6th Gen - (8 GB/1 TB HDD/DOS) 15-BE015TU Laptop,"?31,990",4.1,"15.6 inch, SParkling Black, 2.19 kg","Intel Core i3 Processor (6th Gen)
8 GB DDR4 RAM
DOS Operating System
1 TB HDD
15.6 inch Display
1 Year Onsite Warranty
"
7,Lenovo Core i3 6th Gen - (4 GB/1 TB HDD/Windows 10 Home) Ideapad 110 Laptop,"?30,990",3.9,"15.6 inch, Black, 2.2 kg","HD LED Backlit Display
Intel Core i3 Processor (6th Gen)
4 GB DDR4 RAM
64 bit Windows 10 Operating System
1 TB HDD
15.6 inch Display
1 Year Onsite Warranty
"
8,Lenovo Core i3 6th Gen - (4 GB/500 GB HDD/DOS) Ideapad 110 Laptop,"?24,990",4,"15.6 inch, Black, 2.2 kg","One Year Accidental Damage Protection(On Redemption)
McAfee Live Safe 1 Year Subscription
Intel Core i3 Processor (6th Gen)
4 GB DDR4 RAM
DOS Operating System
500 GB HDD
15.6 inch Display
1 Year Onsite Warranty
"
9,Dell Inspiron APU Dual Core A9 7th Gen - (6 GB/1 TB HDD/Windows 10 Home) 3565 Laptop,"?30,990",4,"15.6 inch, Black","Free Pre Loaded MS Office Home & Student 2016
AMD APU Dual Core A9 Processor (7th Gen)
6 GB DDR4 RAM
64 bit Windows 10 Operating System
1 TB HDD
15.6 inch Display
1 Year Onsite Warranty
"
